-0.28532752,0.060900483,50,50
-0.08287192,0.05253589,656,50
0.1159816,-0.052971438,1263,50
0.3075376,-0.057248235,1870,50
-0.2387297,-0.12515268,50,376
-0.16581903,-0.08212957,656,376
0.09342747,-0.12054169,1263,376
0.2562458,-0.13020207,1870,376
-0.26188394,-0.19895674,50,703
-0.19164799,-0.23191743,656,703
0.11188803,-0.23117028,1263,703
0.27747205,-0.21465732,1870,703
-0.3891866,-0.30365,50,1030
-0.061366092,-0.32345277,656,1030
0.17634776,-0.37549236,1263,1030
0.35757762,-0.34894717,1870,1030
