1263.0,703.0
643.88,50.0
504.5,50.0
1269.07,703.0
1263.0,82.6
1263.0,696.46
662.07,376.0
1263.0,402.17
1263.0,598.37
1263.0,657.22
1263.0,601.64
1263.0,601.63
1263.0,601.63
1263.0,376.0
656.0,50.0
656.0,50.0
1263.0,369.48
1263.0,372.74
656.0,376.0
1263.0,376.0
1263.0,376.0
1263.0,376.0
1870.0,376.0
1870.0,376.0
1870.0,376.0
1870.0,376.0
1426.89,372.74
656.0,405.43
662.07,382.54
656.0,604.9
1475.45,703.0
1730.39,703.0
1870.0,699.73
795.61,703.0
656.0,703.0
656.0,703.0
868.45,703.0
1263.0,703.0
1263.0,703.0
1263.0,928.63
1870.0,994.03
1870.0,931.9
1870.0,994.03
674.21,961.33
668.14,1003.84
656.0,1000.57
656.0,1003.84
662.07,1000.57
