Tempo desde ultimo,Teclado ativo,Calculadora ativa,Google ativo
8.578961849212646,,False,False
7.700024604797363,,False,False
13.920419454574585,True,False,False 
11.341095447540283,True,False,False
8.120803594589233,True,False,False
11.824950933456421,True,False,False
7.559731483459473,True,False,False
10.49067211151123,True,False,False
6.975704193115234,True,False,False
6.2738001346588135,False,False,False
11.646663904190063,True,False,False
12.395623922348022,True,False,False
7.376038074493408,True,False,False
8.916991233825684,True,False,False
10.09354305267334,True,False,False
4.854101181030273,True,False,False
7.40237832069397,True,False,False
4.913508176803589,True,False,False
10.388750553131104,True,False,False
8.370013952255249,True,False,False
6.279417991638184,True,False,False
4.714228630065918,False,False,False
8.408600330352783,True,False,False
4.720333099365234,True,False,False
9.219083786010742,True,False,False
18.2793025970459,True,False,False
4.800182580947876,True,False,False
8.627917289733887,True,False,False
5.670500040054321,True,False,False
4.5045835971832275,True,False,False
7.706867694854736,True,False,False
6.457049131393433,True,False,False
8.34032917022705,True,False,False
5.544572353363037,True,False,False
8.094806909561157,True,False,False
5.560034990310669,True,False,False
8.906805276870728,True,False,False
6.542933464050293,True,False,False
3.499660015106201,False,False,False
4.150647878646851,False,False,False
4.281172037124634,False,False,False
9.999773502349854,True,False,False
7.931240989064345,True,False,False
8.29817247390747,True,False,False
6.338707447052002,True,False,False
8.26032280921936,True,False,False
7.903649806976318,True,False,False
6.1503822803497314,True,False,False
6.209970474243164,False,False,True
3.7004916667938232,False,False,False
7.693871021270752,False,False,False
