Tempo desde último,Teclado ativo,Calculadora ativa,Google ativo
1.3983898162841797,,False,False
0.031249046325683594,,False,False
0.8281331062316895,,False,False
0.08504581451416016,,False,False
6.622449159622192,,False,False
0.08335542678833008,,False,False
3.6996712684631348,,False,False
0.04997897148132324,,False,False
0.050787925720214844,,False,False
0.08240008354187012,,False,False
0.033735036849975586,,False,False
0.08303141593933105,,False,False
0.13331818580627441,,False,False
0.033660888671875,,False,False
0.050032854080200195,,False,False
0.049540042877197266,,False,False
0.05044364929199219,,False,False
0.033640146255493164,,False,False
2.1498806476593018,,False,False
0.08321404457092285,,False,False
0.5833592414855957,,False,False
0.05002427101135254,,False,False
0.08283162117004395,,False,False
0.06713628768920898,,False,False
0.6000227928161621,,False,False
0.06671142578125,,False,False
0.05002117156982422,,False,False
0.049952030181884766,,False,False
