-0.24617831,-0.018271705,50,50
-0.12871657,-0.12515317,656,50
0.097517304,-0.1194742,1263,50
0.21378271,-0.11023037,1870,50
-0.2784092,-0.15229423,50,376
-0.07859669,-0.20609292,656,376
0.062351905,-0.26904452,1263,376
0.20424482,-0.20374353,1870,376
-0.14221674,-0.28808108,50,703
-0.10006325,-0.34400448,656,703
-0.0018797657,-0.37498122,1263,703
0.19347435,-0.371635,1870,703
-0.30083427,-0.33927655,50,1030
-0.17191218,-0.4851057,656,1030
-0.06707667,-0.51730084,1263,1030
0.18405472,-0.5490251,1870,1030
