-0.2865519,0.010927959,50,50
-0.08790037,-0.06029862,656,50
0.06891855,-0.13121231,1263,50
0.23828931,-0.07271642,1870,50
-0.19856085,-0.11917436,50,376
-0.12134435,-0.15132302,656,376
0.012249475,-0.2135579,1263,376
0.18175021,-0.15679461,1870,376
-0.22412653,-0.20626163,50,703
-0.1413931,-0.32348454,656,703
0.053467367,-0.35750455,1263,703
0.17795882,-0.33189484,1870,703
-0.30800784,-0.34469846,50,1030
-0.1349758,-0.44220665,656,1030
0.053168777,-0.4358114,1263,1030
0.24225608,-0.36907795,1870,1030
