-0.3480275,0.05971169,50,50
-0.18006764,0.027158266,656,50
0.051530253,-0.031030623,1263,50
0.23126,-0.08258694,1870,50
-0.35155007,-0.10150962,50,376
-0.13564274,-0.09989113,656,376
0.11400855,-0.11114908,1263,376
0.27020466,-0.12725465,1870,376
-0.36435148,-0.22493316,50,703
-0.09504464,-0.31692293,656,703
0.11093228,-0.33271968,1263,703
0.37129784,-0.24711275,1870,703
-0.4206031,-0.320756,50,1030
-0.08578367,-0.4133735,656,1030
0.31157726,-0.4490903,1263,1030
0.44070747,-0.37877056,1870,1030
