0,0,0,"192, 108 "
0,0,0,"192, 108 "
0,0,0,"192, 108 "
886.5470762416679,155.8800399692825,1,"960, 108 "
897.5101108296321,153.33563346678554,1,"960, 108 "
873.0621458935881,150.7189829293099,1,"960, 108 "
1920,235.2910793496199,2,"1728, 108 "
1920,253.1434586850482,2,"1728, 108 "
1920,253.62615927544707,2,"1728, 108 "
432.4361405375735,246.46561702367643,3,"576, 324 "
444.27331625695297,224.5334603808861,3,"576, 324 "
461.3664773015658,230.3402722580247,3,"576, 324 "
1381.3502256867582,412.71354630193525,4,"1344, 324 "
1354.0968934535224,460.47171504025124,4,"1344, 324 "
1366.8214724171296,459.48554695047875,4,"1344, 324 "
134.21192818068036,363.2555320394079,5,"192, 540 "
152.34995885266093,432.83860173745666,5,"192, 540 "
175.90450082057595,361.34257561500465,5,"192, 540 "
1031.5125813142636,526.6615358331238,6,"960, 540 "
1077.6005937148839,546.4211496893264,6,"960, 540 "
1042.4204380248354,527.1907118855153,6,"960, 540 "
1853.8935174940952,694.6987203814592,7,"1728, 540 "
1902.7609926168582,730.022952454339,7,"1728, 540 "
1920,663.251098023804,7,"1728, 540 "
647.2199361361338,605.1965437652167,8,"576, 756 "
713.7118056252084,671.8812091887075,8,"576, 756 "
676.5108245264471,664.6212738697051,8,"576, 756 "
1554.0475014270892,965.4878496316784,9,"1344, 756 "
1554.321846395092,982.8124133673263,9,"1344, 756 "
1627.5067830517703,969.2679872514537,9,"1344, 756 "
418.53384266567105,986.4581862851031,10,"192, 972 "
399.686689688133,995.461581638495,10,"192, 972 "
414.87871779344044,1001.6538017376853,10,"192, 972 "
1312.7363738150837,1080,11,"960, 972 "
1263.1905653147444,1077.1194685259713,11,"960, 972 "
1181.2248112601444,1034.663983945771,11,"960, 972 "
1920,1080,12,"1728, 972 "
1920,1080,12,"1728, 972 "
1920,1080,12,"1728, 972 "
